City,Cloudiness,Country,Country Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kavaratti,0,IN,1553122384,100,10.57,72.64,82.38,3.96
East London,88,ZA,1553122384,100,-33.02,27.91,69.69,11.9
Makakilo City,20,US,1553122117,44,21.35,-158.09,80.6,9.17
Svetlaya,92,RU,1553122385,100,46.54,138.33,24.42,18.05
Novoagansk,48,RU,1553122385,78,61.94,76.66,25.95,9.33
Cape Town,0,ZA,1553122380,63,-33.93,18.42,60.8,12.75
Yellowknife,20,CA,1553119200,52,62.45,-114.38,44.6,23.04
Jamestown,0,AU,1553122293,89,-33.21,138.6,71.04,4.63
Rio Negro,44,PE,1553122386,94,-11.21,-74.66,68.34,0.72
Batagay,0,RU,1553122386,47,67.65,134.64,-16.62,2.84
Mayumba,80,GA,1553122386,99,-3.44,10.65,79.68,3.62
Butaritari,80,KI,1553122387,100,3.07,172.79,81.75,6.98
Nikolskoye,75,RU,1553122245,96,59.7,30.79,34.0,6.71
Norman Wells,75,CA,1553119200,59,65.28,-126.83,35.6,9.17
Tabuk,0,PH,1553122387,70,17.41,121.44,69.69,2.17
Tiksi,76,RU,1553122388,72,71.64,128.87,-2.76,20.07
San Javier,0,ES,1553122360,71,37.81,-0.83,51.8,6.93
Ushuaia,75,AR,1553119200,87,-54.81,-68.31,48.2,23.04
Bonfim,68,BR,1553122389,94,-20.33,-44.24,70.41,7.76
Wanaka,0,NZ,1553122389,67,-44.7,169.14,66.54,2.62
Albany,20,US,1553121425,22,42.65,-73.75,53.6,9.17
Hilo,90,US,1553122334,60,19.71,-155.08,75.2,6.93
Roblin,8,CA,1553122389,90,51.23,-101.35,35.22,3.74
Lewistown,40,US,1553122166,62,40.39,-90.15,52.0,11.41
Busselton,64,AU,1553122283,55,-33.64,115.35,68.0,17.16
Samarai,36,PG,1553122390,100,-10.62,150.67,83.37,11.9
Palmer,75,AU,1553122302,68,-34.85,139.16,73.0,14.99
Faanui,0,PF,1553122390,100,-16.48,-151.75,84.81,3.06
Bontang,12,ID,1553122391,95,0.12,117.47,81.84,7.43
Jaguarao,0,BR,1553122093,58,-32.57,-53.38,61.77,12.35
Nevelsk,40,RU,1553119200,67,46.67,141.86,17.6,6.71
Cherskiy,48,RU,1553122391,64,68.75,161.3,-8.16,3.18
Sadiqabad,0,PK,1553122391,75,28.31,70.13,61.32,3.62
Tursunzoda,20,UZ,1553121000,100,38.51,68.23,44.6,2.24
Sitka,0,US,1553122040,19,37.17,-99.65,64.0,13.0
Qaanaaq,8,GL,1553122392,99,77.48,-69.36,-31.11,7.87
Springbok,0,ZA,1553122392,74,-29.67,17.88,52.95,4.18
Trinidad,0,UY,1553122104,66,-33.52,-56.9,55.47,7.65
Aykhal,0,RU,1553122393,35,65.95,111.51,-11.67,3.29
Mahebourg,40,MU,1553122143,83,-20.41,57.7,80.6,8.05
Hami,0,CN,1553122393,60,42.84,93.51,24.51,5.64
Punta Arenas,75,CL,1553121800,71,-53.16,-70.91,53.6,18.34
Beloha,80,MG,1553122394,90,-25.17,45.06,74.01,3.29
Baherden,24,TM,1553122394,92,38.44,57.43,38.64,3.18
Arona,0,IT,1553122384,77,45.76,8.56,48.99,1.12
Vestmannaeyjar,80,IS,1553122394,90,63.44,-20.27,36.39,21.85
Rikitea,0,PF,1553122394,100,-23.12,-134.97,78.6,23.31
Carnarvon,0,ZA,1553122395,45,-30.97,22.13,55.11,7.2
Kodiak,1,US,1553122385,17,39.95,-94.76,59.0,16.11
