Year,Tickets Sold,Total Box Office,Total Inflation Adjusted Box Office,Average Ticket Price,US Population
2018,1343070792,12047347741,12047347867,8.97,328030000
2017,1225524720,10992959545,10992959664,8.97,325720000
2016,1291731663,11259213129,11586833074,8.65,323410000
2015,1289902170,11155102984,11570422578,8.43,321040000
2014,1257399140,10272966196,11278870299,8.17,318620000
2013,1339241669,10888057844,12012997769,8.13,316230000
2012,1402603148,11164723987,12581350217,7.96,313990000
2011,1196322668,10173333767,10731014500,7.93,311640000
2010,1209352777,10482254025,10847894581,7.89,309340000
2009,1260734366,10639257284,11308764272,7.5,306770000
2008,1153585816,9750739371,10347664950,7.18,304090000
2007,1382337785,9769854914,12399569977,6.88,301230000
2006,1398738283,9161738221,12546682412,6.55,298380000
2005,1372979359,8800805718,12315624862,6.41,295520000
2004,1495642256,9287940363,13415911048,6.21,292810000
2003,1524299882,9191530167,13672969943,6.03,290110000
2002,1575738917,9155044904,14134378110,5.81,287630000
2001,1476198631,8355374308,13241501739,5.66,284970000
2000,1397457536,7532309928,12535194096,5.39,282160000
1999,1444688664,7339019709,12958857317,5.08,279040000
1998,1443141334,6771554637,12944977760,4.69,275850000
1997,1385218935,6358155799,12425413847,4.59,272650000
1996,1310014086,5790263038,11750787998,4.42,269390000
1995,1221689691,5314350848,10958556531,4.35,266280000
