Title,Year,Genre,Country,RT_Ratings,Metascore,imdbRating,imdbVotes,Type,Production,RT_Ratings2,imdbRating2
Toy Story,1995,"Animation, Adventure, Comedy, Family, Fantasy",USA,100%,95.0,8.3,"778,821",movie,Buena Vista,100,83.0
Jumanji,1995,"Adventure, Family, Fantasy",USA,53%,39.0,6.9,"264,569",movie,Sony Pictures Home Entertainment,53,69.0
Grumpier Old Men,1995,"Comedy, Romance",USA,17%,46.0,6.6,"22,256",movie,Warner Home Video,17,66.0
Waiting to Exhale,1995,"Comedy, Drama, Romance",USA,56%,,5.8,"8,613",movie,Twentieth Century Fox Home Entertainment,56,58.0
Father of the Bride Part II,1995,"Comedy, Family, Romance",USA,48%,49.0,6.0,"30,949",movie,Disney,48,60.0
Heat,1995,"Crime, Drama, Thriller",USA,86%,76.0,8.2,"518,054",movie,Warner Bros.,86,82.0
Sabrina,1995,"Comedy, Drama","Germany, USA",64%,56.0,6.3,"33,609",movie,Paramount,64,63.0
Tom and Huck,1995,"Adventure, Comedy, Drama, Family, Romance, Western",USA,25%,,5.6,"8,870",movie,Buena Vista,25,56.0
Sudden Death,1995,"Action, Crime, Thriller",USA,54%,,5.7,"29,513",movie,MCA Universal Home Video,54,57.0
GoldenEye,1995,"Action, Adventure, Thriller","UK, USA",78%,65.0,7.2,"220,980",movie,MGM/UA,78,72.0
The American President,1995,"Comedy, Drama, Romance",USA,91%,67.0,6.8,"47,867",movie,Columbia Pictures,91,68.0
Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror","France, USA",11%,,5.8,"35,353",movie,WARNER BROTHERS PICTURES,11,58.0
Balto,1995,"Animation, Adventure, Drama, Family, History",USA,52%,,7.1,"35,922",movie,MCA Universal Home Video,52,71.0
Nixon,1995,"Biography, Drama, History",USA,75%,66.0,7.1,"26,739",movie,Buena Vista Pictures,75,71.0
Cutthroat Island,1995,"Action, Adventure, Comedy","USA, France, Italy, Germany",38%,37.0,5.6,"23,849",movie,Live Home Video,38,56.0
Casino,1995,"Crime, Drama","USA, France",79%,73.0,8.2,"407,282",movie,Universal Pictures,79,82.0
Sense and Sensibility,1995,"Drama, Romance","USA, UK",98%,84.0,7.7,"90,932",movie,Columbia Pictures,98,77.0
Four Rooms,1995,Comedy,USA,14%,,6.8,"89,264",movie,Miramax Films,14,68.0
Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",USA,33%,45.0,6.4,"185,567",movie,Warner Home Video,33,64.0
Money Train,1995,"Action, Comedy, Crime, Drama, Thriller",USA,22%,,5.6,"35,888",movie,Sony Pictures Home Entertainment,22,56.0
Get Shorty,1995,"Comedy, Crime, Thriller",USA,87%,82.0,6.9,"70,410",movie,MGM,87,69.0
Copycat,1995,"Drama, Mystery, Thriller",USA,76%,54.0,6.6,"49,256",movie,Warner Home Video,76,66.0
Assassins,1995,"Action, Crime, Thriller","France, USA",15%,,6.3,"71,780",movie,Warner Home Video,15,63.0
Powder,1995,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",USA,50%,,6.6,"26,879",movie,Hollywood Pictures,50,66.0
Leaving Las Vegas,1995,"Drama, Romance","France, UK, USA",90%,82.0,7.5,"105,449",movie,United Artists,90,75.0
Othello,1995,"Drama, Romance","USA, UK",67%,,6.9,"8,401",movie,Sony Pictures Home Entertainment,67,69.0
Now and Then,1995,"Comedy, Drama, Romance",USA,28%,,6.8,"23,934",movie,New Line Home Entertainment,28,68.0
Persuasion,1995,"Drama, Romance","UK, USA, France",85%,,7.7,"8,758",movie,Sony Pictures Home Entertainment,85,77.0
The City of Lost Children,1995,"Fantasy, Sci-Fi","France, Germany, Spain, Belgium",79%,73.0,7.6,"61,043",movie,Sony Pictures Classics,79,76.0
Shanghai Triad,1995,"Crime, Drama, History, Romance, Thriller","France, China",87%,,7.2,"4,762",movie,Sony Pictures Home Entertainment,87,72.0
Dangerous Minds,1995,"Biography, Drama",USA,29%,47.0,6.5,"44,006",movie,Disney,29,65.0
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",USA,89%,74.0,8.0,"535,310",movie,Universal Pictures,89,80.0
Babe,1995,"Comedy, Drama, Family","Australia, USA",97%,83.0,6.8,"107,622",movie,Universal Pictures,97,68.0
Carrington,1995,"Biography, Drama, Romance","UK, France",52%,,6.9,"4,792",movie,MGM Home Entertainment,52,69.0
Dead Man Walking,1995,"Crime, Drama","UK, USA",95%,80.0,7.5,"82,014",movie,Gramercy Pictures,95,75.0
It Takes Two,1995,"Comedy, Family, Romance",USA,8%,45.0,5.8,"18,036",movie,Warner Home Video,8,58.0
Clueless,1995,"Comedy, Romance",USA,68/100,68.0,6.8,"153,681",movie,,68,68.0
"Cry, the Beloved Country",1995,"Drama, Thriller","South Africa, USA",85%,71.0,6.9,"1,601",movie,Miramax,85,69.0
Richard III,1995,"Drama, Sci-Fi, War","UK, USA",94%,,7.5,"12,748",movie,United Artists,94,75.0
Dead Presidents,1995,"Action, Crime, Drama, Thriller, War",USA,44%,,6.9,"17,785",movie,Hollywood Pictures,44,69.0
Restoration,1995,"Biography, Drama, History, Romance","USA, UK",70%,66.0,6.7,"8,265",movie,Miramax,70,67.0
Mortal Kombat,1995,"Action, Adventure, Fantasy, Sci-Fi, Thriller",USA,38%,58.0,5.8,"92,755",movie,New Line Home Entertainment,38,58.0
To Die For,1995,"Comedy, Crime, Drama, Thriller","USA, UK, Canada",88%,86.0,6.8,"39,694",movie,Columbia Pictures,88,68.0
How to Make an American Quilt,1995,"Comedy, Drama, Romance",USA,61%,,6.2,"9,888",movie,MCA Universal Home Video,61,62.0
Se7en,1995,"Crime, Drama, Mystery, Thriller",USA,81%,65.0,8.6,"1,259,955",movie,New Line Cinema,81,86.0
Pocahontas,1995,"Animation, Adventure, Drama, Family, Musical, Romance",USA,57%,58.0,6.7,"148,989",movie,Buena Vista Distribution Compa,57,67.0
When Night Is Falling,1995,"Drama, Romance",Canada,50%,,6.6,"6,103",movie,Evergreen,50,66.0
The Usual Suspects,1995,"Crime, Mystery, Thriller","USA, Germany",89%,77.0,8.6,"890,266",movie,Gramercy Pictures,89,86.0
Mighty Aphrodite,1995,"Comedy, Fantasy, Romance",USA,77%,59.0,7.1,"35,492",movie,Miramax Films,77,71.0
Lamerica,1994,Drama,"Italy, France, Switzerland, Austria",91%,,7.6,"1,926",movie,Arena Films,91,76.0
