Title,Year,Genre,Country,imdbRating,imdbVotes,imdbID,Year2,imdbRating2
Zeg 'ns Aaa,1981–1993,Comedy,Netherlands,6.6,153,tt0062614,1981,66.0
Catweazle,1970–1971,"Adventure, Comedy, Family",UK,7.9,623,tt0063881,1970,79.0
UFO,1970–1973,"Action, Sci-Fi",UK,8.0,"2,333",tt0063962,1970,80.0
All My Children,1970–2011,"Drama, Romance, Mystery",USA,6.7,"2,128",tt0065272,1970,67.0
Archie's Funhouse,1970–1971,"Animation, Comedy, Family",USA,7.6,119,tt0065273,1970,76.0
Budgie,1971–1972,Drama,UK,7.9,133,tt0065279,1971,79.0
The Bugaloos,1970–1972,"Family, Fantasy",USA,7.0,330,tt0065280,1970,70.0
Dan August,1970–1971,"Crime, Drama",USA,7.1,175,tt0065286,1970,71.0
Doomwatch,1970–2016,"Sci-Fi, Drama",UK,7.3,110,tt0065290,1970,73.0
Flip,1970–1974,"Comedy, Music",USA,7.3,801,tt0065294,1970,73.0
The Goodies,1970–1982,Comedy,UK,7.8,"1,150",tt0065296,1970,78.0
Harlem Globe Trotters,1970–1973,"Animation, Family, Sport",USA,6.4,94,tt0065298,1970,64.0
Josie and the Pussycats,1970–1972,"Animation, Comedy, Family",USA,6.3,"1,363",tt0065307,1970,63.0
Lancelot Link: Secret Chimp,1970–,"Adventure, Comedy, Family",USA,7.7,260,tt0065309,1970,77.0
Nase malo misto,1970–,,Yugoslavia,8.9,622,tt0065313,1970,89.0
Mary Tyler Moore,1970–1977,Comedy,USA,8.1,"5,878",tt0065314,1970,81.0
McCloud,1970–1977,"Action, Crime, Drama, Mystery, Thriller",USA,7.0,"2,257",tt0065317,1970,70.0
NFL Monday Night Football,1970–,Sport,USA,8.4,"1,096",tt0065323,1970,84.0
Nanny and the Professor,1970–1971,"Comedy, Fantasy",USA,7.2,533,tt0065326,1970,72.0
The Odd Couple,1970–1975,Comedy,USA,7.9,"4,485",tt0065329,1970,79.0
The Partridge Family,1970–1974,"Comedy, Family, Music",USA,6.5,"2,902",tt0065333,1970,65.0
Sabrina and the Groovie Goolies,1970–1971,"Animation, Family, Fantasy",USA,7.7,198,tt0065342,1970,77.0
Die Sendung mit der Maus,1971–,"Animation, Family","West Germany, Germany",8.1,524,tt0065345,1971,81.0
Alias Smith and Jones,1971–1973,Western,USA,7.7,"1,416",tt0066625,1971,77.0
All in the Family,1971–1979,"Comedy, Drama",USA,8.3,"12,441",tt0066626,1971,83.0
The Beachcombers,1972–2004,"Adventure, Comedy",Canada,7.5,429,tt0066630,1972,75.0
Bearcats!,1971,Adventure,USA,7.9,128,tt0066631,,79.0
Bless This House,1971–1976,Comedy,UK,7.0,617,tt0066633,1971,70.0
Cade's County,1971–1972,"Action, Crime, Drama",USA,7.1,149,tt0066635,1971,71.0
Cannon,1971–1976,"Action, Crime, Drama, Mystery",USA,6.8,"2,214",tt0066636,1971,68.0
Doctor at Large,1971–,Comedy,UK,7.4,179,tt0066648,1971,74.0
The Electric Company,1971–1977,"Family, Comedy",USA,8.2,"1,280",tt0066651,1971,82.0
The Funky Phantom,1971–,"Animation, Family, Fantasy, History","Australia, USA",6.5,129,tt0066656,1971,65.0
Help!... It's the Hair Bear Bunch!,1971–,"Animation, Comedy, Family",USA,6.4,485,tt0066667,1971,64.0
Here Come the Double Deckers!,1970–,"Family, Comedy",UK,7.5,170,tt0066669,1970,75.0
The Hilarious House of Frightenstein,1971–,"Comedy, Family",Canada,8.3,548,tt0066670,1971,83.0
Jackson 5ive,1971–1973,"Animation, Family, Music",USA,6.8,163,tt0066671,1971,68.0
Jason King,1971–1972,"Action, Adventure",UK,7.0,223,tt0066672,1971,70.0
The Jimmy Stewart Show,1971–1972,Comedy,USA,7.6,156,tt0066673,1971,76.0
Lidsville,1971–1973,"Adventure, Comedy, Family, Fantasy",USA,7.2,296,tt0066679,1971,72.0
Longstreet,1971–1972,"Action, Crime, Drama",USA,8.2,353,tt0066681,1971,82.0
The Man and the City,1971–1972,Drama,USA,9.4,128,tt0066683,1971,94.0
Masterpiece Classic,1971–,"Drama, Romance",USA,8.5,337,tt0066684,1971,85.0
McMillan & Wife,1971–1977,"Crime, Drama, Mystery",USA,7.2,"1,726",tt0066685,1971,72.0
The New Dick Van Dyke Show,1971–1974,Comedy,USA,7.0,167,tt0066689,1971,70.0
Nichols,1971–1972,Western,USA,8.1,180,tt0066690,1971,81.0
"Owen Marshall, Counselor at Law",1971–1974,Drama,USA,7.2,180,tt0066696,1971,72.0
The Pebbles and Bamm-Bamm Show,1971–1976,"Animation, Comedy, Family",USA,5.8,351,tt0066699,1971,58.0
The Persuaders!,1971–1972,"Action, Adventure, Comedy",UK,8.1,"4,119",tt0066701,1971,81.0
Prosjaci i sinovi,1971–,"Comedy, Drama",Yugoslavia,8.5,765,tt0066704,1971,85.0
"Sabrina, the Teenage Witch",1971–1974,"Animation, Comedy, Family",USA,7.2,144,tt0066707,1971,72.0
The Sonny and Cher Comedy Hour,1971–1974,"Comedy, Music",USA,7.2,609,tt0066717,1971,72.0
The Two Ronnies,1971–1987,Comedy,UK,7.8,"2,417",tt0066721,1971,78.0
"Upstairs, Downstairs",1971–1975,Drama,UK,8.4,"2,353",tt0066722,1971,84.0
The Adventures of Black Beauty,1972–1974,"Adventure, Family",UK,6.7,269,tt0068030,1972,67.0
The Amazing Chan and the Chan Clan,1972–,"Animation, Family, Mystery",USA,6.7,119,tt0068037,1972,67.0
Anna and the King,1972–,"Comedy, Romance",USA,7.4,343,tt0068039,1972,74.0
Are You Being Served?,1972–1985,Comedy,UK,8.1,"6,027",tt0068040,1972,81.0
Arthur of the Britons,1972–1973,Adventure,UK,8.2,103,tt0068041,1972,82.0
Banacek,1972–1974,"Crime, Drama, Mystery",USA,7.6,"1,006",tt0068044,1972,76.0
The Bob Newhart Show,1972–1978,Comedy,USA,8.1,"4,030",tt0068049,1972,81.0
The Brady Kids,1972–1973,"Animation, Comedy, Family",USA,6.7,98,tt0068051,1972,67.0
Bridget Loves Bernie,1972–1973,Comedy,USA,6.2,107,tt0068053,1972,62.0
Colditz,1972–1974,"Drama, History, War",UK,8.5,595,tt0068059,1972,85.0
The David Steinberg Show,1972–,Comedy,"USA, Canada",6.9,37,tt0068063,1972,69.0
Doctor in Charge,1972–1973,Comedy,UK,8.0,93,tt0068065,1972,80.0
Emergency!,1972–1979,"Action, Adventure, Comedy, Drama",USA,7.9,"3,213",tt0068067,1972,79.0
Emmerdale,1972–,"Drama, Romance",UK,4.8,"2,201",tt0068069,1972,48.0
Fat Albert and the Cosby Kids,1972–1985,"Animation, Comedy, Family",USA,6.9,"1,746",tt0068072,1972,69.0
Circle of Fear,1972–1973,"Horror, Thriller",USA,7.9,281,tt0068074,1972,79.0
Hec Ramsey,1972–1974,Western,USA,8.0,173,tt0068077,1972,80.0
Huset på Christianshavn,1970–1977,"Comedy, Family",Denmark,7.6,588,tt0068081,1970,76.0
Josie and the Pussy Cats in Outer Space,1972–1974,"Animation, Family",USA,7.6,98,tt0068088,1972,76.0
The Julie Andrews Hour,1972–1973,Music,USA,8.9,101,tt0068089,1972,89.0
