ID,Votes
tt0060317,57
tt0069049,4150
tt0069204,13
tt0170651,5
tt0192528,68
tt0253093,6
tt0277964,31
tt0306065,98
tt0328810,59
tt0337981,62
tt0357717,9
tt0360556,13823
tt0365545,5981
tt0427543,114
tt0432010,46
tt0825334,49
tt0849437,35
tt0850247,13
tt0859635,18762
tt0862930,286
tt0933876,314
tt0972544,2588
tt10022158,6
tt1034415,29395
tt1072748,23116
tt1127881,58
tt1137450,47170
tt1146918,28
tt1213641,108575
tt1226837,26269
tt1235187,997
tt1255919,11236
tt1259528,66361
tt1270797,250493
tt1273221,2099
tt1285009,20671
tt1289403,20691
tt1308728,15427
tt1318517,6209
tt1319706,6
tt1326219,33
tt1329350,49
tt1337180,13
tt1352771,37
tt1365519,156959
tt1389098,215
tt1413492,47642
tt1458902,19
tt1464763,24509
tt1477834,209310
tt1493881,50
tt1502407,81269
tt1508012,8
tt1517451,222962
tt1525916,77
tt1563742,23091
tt1571234,54469
tt1590193,79521
tt1595021,19
tt1620680,33706
tt1662546,29
tt1677720,288853
tt1682886,576
tt1682956,6
tt1690543,12
tt1690967,1451
tt1727254,146
tt1727824,309721
tt1737110,41
tt1754316,63
tt1754650,8
tt1759744,136
tt1765679,16
tt1773753,3883
tt1780790,93
tt1794951,28
tt1799516,2605
tt1801552,9372
tt1825683,483972
tt1826956,53
tt1838708,40
tt1843303,13
tt1846589,29143
tt1849772,40
tt1858788,14
tt1871361,8
tt1879017,26
tt1884378,396
tt1885322,49
tt1885325,141
tt1893269,374
tt1922544,257
tt1937340,320
tt1971310,251
tt1977094,606
tt1986097,7
tt1999130,32
tt1999890,7764
tt1999929,8
tt2011311,15548
tt2018069,3580
tt2034176,686
tt2039349,72
tt2043993,561
tt2050452,224
tt2060503,33
tt2069797,4067
tt2071600,226
tt2081306,13
tt2091245,213
tt2093980,6
tt2098669,127
tt2119543,29936
tt2126357,8997
tt2139845,13
tt2140629,4001
tt2149542,179
tt2150177,410
tt2160105,4458
tt2160125,24
tt2179171,37
tt2179231,378
tt2180583,16
tt2201211,187
tt2221755,8
tt2226440,235
tt2231461,110312
tt2233979,399
tt2237324,3255
tt2239876,43
tt2243456,8
tt2243900,1381
tt2258724,21
