ID,Votes,Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
tt0069049,4150,The Other Side of the Wind,2018,02 Nov 2018,122 min,"Comedy, Drama",Orson Welles,"Oja Kodar, Orson Welles","John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.,"France, Iran, USA",N/A,83%,78,7.0,"4,069",tt0069049,movie,N/A,Netflix
tt0360556,13823,Fahrenheit 451,2018,20 May 2018,100 min,"Drama, Sci-Fi, Thriller",Ramin Bahrani,"Ray Bradbury (based on the novel written by), Ramin Bahrani (screenplay by), Amir Naderi (screenplay by)","Michael B. Jordan, Aaron Davis, Cindy Katz, Michael Shannon","In a terrifying care-free future, a young man, Guy Montag, whose job as a fireman is to burn all books, questions his actions after meeting a young woman...and begins to rebel against society.",USA,N/A,32%,N/A,4.9,"13,647",tt0360556,movie,N/A,HBO Films
tt0365545,5981,Nappily Ever After,2018,21 Sep 2018,98 min,"Comedy, Drama, Romance",Haifaa Al-Mansour,"Adam Brooks, Cee Marcellus, Trisha R. Thomas (based on the novel Nappily Ever After by)","Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield","Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",USA,N/A,71%,63,6.4,"5,840",tt0365545,movie,N/A,Netflix
tt0859635,18762,Super Troopers 2,2018,20 Apr 2018,99 min,"Comedy, Crime, Mystery",Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske","Seann William Scott, Clifton Collins Jr., Steve Lemme, Erik Stolhanske","When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.",USA,N/A,21%,41,6.1,"18,671",tt0859635,movie,N/A,SK Planet
tt0972544,2588,Back Roads,2018,07 Dec 2018,101 min,"Drama, Thriller",Alex Pettyfer,"Tawni O'Dell (novel), Tawni O'Dell (screenplay), Adrian Lyne","Jennifer Morrison, Juliette Lewis, Alex Pettyfer, Nicola Peltz","""Back Roads"" centers on a young man stuck in the Pennsylvania backwoods caring for his three younger sisters after the shooting death of his abusive father and the arrest of his mother. ...",USA,N/A,74%,42,7.2,"2,000",tt0972544,movie,N/A,Samuel Goldwyn Films
tt1034415,29395,Suspiria,2018,02 Nov 2018,152 min,"Fantasy, Horror, Mystery, Thriller",Luca Guadagnino,"Dario Argento (characters), Daria Nicolodi (characters), David Kajganich (screenplay)","Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela","A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.","Italy, USA",N/A,65%,64,6.9,"27,132",tt1034415,movie,N/A,Amazon Studios
tt1072748,23116,Winchester,2018,02 Feb 2018,99 min,"Biography, Drama, Fantasy, Horror, Mystery, Thriller","Michael Spierig, Peter Spierig","Tom Vaughan, Michael Spierig, Peter Spierig","Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey, Jason Clarke","Ensconced in her sprawling California mansion, eccentric firearm heiress Sarah Winchester believes she is haunted by the souls of people killed by the Winchester repeating rifle.","Australia, USA",N/A,15%,28,5.4,"23,102",tt1072748,movie,"$24,553,838",CBS Films
tt1137450,47170,Death Wish,2018,02 Mar 2018,107 min,"Action, Crime, Drama, Thriller",Eli Roth,"Joe Carnahan (screenplay by), Brian Garfield (from the novel by), Wendell Mayes (based on the 1974 motion picture by)","Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Camila Morrone","Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",USA,N/A,18%,31,6.4,"46,673",tt1137450,movie,"$13,025,000",MGM
tt1213641,108575,First Man,2018,12 Oct 2018,141 min,"Biography, Drama, History",Damien Chazelle,"Josh Singer (screenplay by), James R. Hansen (based on the book by)","Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.","USA, Japan",N/A,87%,84,7.4,"100,721",tt1213641,movie,N/A,Universal Pictures
tt1226837,26269,Beautiful Boy,2018,25 Oct 2018,120 min,"Biography, Drama",Felix van Groeningen,"Luke Davies (screenplay by), Felix van Groeningen (screenplay by), David Sheff (based on the book ""Beautiful Boy"" by), Nic Sheff (based on the book ""Tweak"" by)","Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull","Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years.",USA,N/A,69%,62,7.3,"25,711",tt1226837,movie,N/A,Amazon Studios
tt1235187,997,Where Hands Touch,2018,14 Sep 2018,122 min,"Drama, Romance, War",Amma Asante,Amma Asante,"Abbie Cornish, Tom Goodman-Hill, Amandla Stenberg, George MacKay",A rites of passage story of a bi-racial teen struggling for survival in Nazi Germany.,UK,N/A,43%,45,5.5,963,tt1235187,movie,N/A,Vertical Entertainment
tt1255919,11236,Holmes & Watson,2018,25 Dec 2018,90 min,"Adventure, Comedy, Crime, Mystery",Etan Cohen,"Etan Cohen, Arthur Conan Doyle (Sherlock Holmes and Dr. Watson were created by the late)","Ralph Fiennes, Kelly Macdonald, Will Ferrell, Rebecca Hall",A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.,USA,N/A,10%,24,3.4,"8,040",tt1255919,movie,N/A,Columbia Pictures
tt1259528,66361,Den of Thieves,2018,19 Jan 2018,140 min,"Action, Crime, Drama, Mystery, Thriller",Christian Gudegast,"Christian Gudegast (screenplay by), Christian Gudegast (story by), Paul Scheuring (story by)","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,USA,N/A,49/100,49,7.0,"65,737",tt1259528,movie,"$44,680,327",STX Entertainment
tt1270797,250493,Venom,2018,05 Oct 2018,112 min,"Action, Sci-Fi, Thriller",Ruben Fleischer,"Jeff Pinkner (screenplay by), Scott Rosenberg (screenplay by), Kelly Marcel (screenplay by), Jeff Pinkner (screen story by), Scott Rosenberg (screen story by), Todd McFarlane (Marvel's Venom Character created by), David Michelinie (Marvel's Venom Character created by)","Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","China, USA",N/A,35/100,35,6.8,"245,745",tt1270797,movie,N/A,Vis
