ID,Votes
tt0062614,166
tt0063881,671
tt0063962,2368
tt0065269,83
tt0065270,11
tt0065272,2277
tt0065273,129
tt0065274,82
tt0065276,38
tt0065277,19
tt0065278,57
tt0065279,132
tt0065280,375
tt0065283,15
tt0065286,197
tt0065287,34
tt0065288,29
tt0065289,20
tt0065290,111
tt0065293,17
tt0065294,843
tt0065295,41
tt0065296,1169
tt0065297,19
tt0065298,130
tt0065299,19
tt0065301,34
tt0065302,6
tt0065305,40
tt0065307,1525
tt0065309,271
tt0065310,50
tt0065313,764
tt0065314,5905
tt0065316,17
tt0065317,2266
tt0065320,10
tt0065321,35
tt0065323,1234
tt0065324,7
tt0065325,24
tt0065326,549
tt0065328,8
tt0065329,4540
tt0065332,15
tt0065333,2908
tt0065334,32
tt0065336,38
tt0065337,29
tt0065342,215
tt0065343,88
tt0065345,620
tt0065346,55
tt0065347,32
tt0065351,87
tt0065352,44
tt0065353,34
tt0065355,17
tt0065356,16
tt0065358,76
tt0066624,10
tt0066625,1416
tt0066626,12464
tt0066627,18
tt0066628,41
tt0066629,68
tt0066630,429
tt0066631,128
tt0066633,618
tt0066634,14
tt0066635,149
tt0066636,2216
tt0066640,26
tt0066644,30
tt0066645,19
tt0066647,7
tt0066648,179
tt0066649,52
tt0066650,8
tt0066651,1558
tt0066654,16
tt0066656,129
tt0066657,36
tt0066658,14
tt0066661,26
tt0066662,12
tt0066663,18
tt0066665,58
tt0066666,49
tt0066667,485
tt0066668,82
tt0066669,170
tt0066670,548
tt0066671,164
tt0066672,223
tt0066673,156
tt0066679,296
tt0066680,10
tt0066681,354
tt0066682,65
tt0066683,128
tt0066684,337
tt0066685,1727
tt0066687,14
tt0066688,65
tt0066689,167
tt0066690,181
tt0066691,7
tt0066693,92
tt0066695,16
tt0066696,180
tt0066697,37
tt0066698,8
tt0066699,351
tt0066701,4128
tt0066704,765
tt0066705,51
tt0066707,144
tt0066708,39
tt0066711,6
tt0066712,18
tt0066713,20
tt0066716,76
tt0066717,609
tt0066721,2420
tt0066722,2352
tt0066723,7
tt0066725,13
tt0066726,66
tt0067408,50
tt0068027,42
tt0068029,54
tt0068030,286
tt0068031,12
tt0068033,12
tt0068034,36
tt0068035,57
tt0068037,118
tt0068039,373
tt0068040,6116
tt0068041,108
tt0068042,17
tt0068043,56
tt0068044,1012
tt0068045,97
tt0068046,24
tt0068047,8
tt0068049,4193
tt0068051,107
tt0068052,40
tt0068053,121
tt0068054,57
tt0068055,13
tt0068059,596
tt0068060,32
tt0068061,36
tt0068063,146
tt0068064,47
tt0068065,105
tt0068066,28
tt0068067,3295
tt0068069,2476
tt0068071,17
tt0068072,1755
tt0068073,88
tt0068074,305
tt0068076,6
tt0068077,199
tt0068078,7
tt0068080,47
tt0068081,601
tt0068084,9
tt0068086,17
tt0068087,10
tt0068088,164
tt0068089,109
tt0068090,20
tt0068091,28
tt0068092,11
tt0068093,4598
tt0068096,422
tt0068098,46341
tt0068099,92
tt0068102,54
tt0068103,2936
tt0068104,47
tt0068105,7
tt0068108,62
tt0068109,5
tt0068110,39
tt0068111,53
tt0068112,3414
tt0068113,9
tt0068114,68
tt0068115,13
tt0068116,42
tt0068118,111
tt0068120,2905
tt0068121,30
tt0068122,305
tt0068124,30
tt0068125,72
tt0068126,726
tt0068127,53
tt0068128,6689
tt0068129,153
tt0068131,207
tt0068132,326
tt0068134,14
tt0068135,4419
tt0068136,15
tt0068137,108
tt0068138,81
tt0068145,389
tt0068147,87
tt0068148,454
tt0068149,4800
tt0068150,7
tt0068151,14
tt0068322,6
tt0068530,78
tt0068792,524
tt0069286,44
tt0069553,27
tt0069554,682
tt0069555,6
tt0069557,1784
tt0069558,34
tt0069560,16
tt0069562,36
tt0069564,29
tt0069565,23
tt0069566,9
tt0069567,6
tt0069569,21
tt0069571,12
tt0069572,36
tt0069573,7
tt0069574,16
tt0069575,19
tt0069576,2217
tt0069577,156
