Launch,Launch Date (UTC),COSPAR,PL Name,Orig PL Name,SATCAT,LV Type,LV S/N,Site,Suc,Ref
1957 ALP,1957 Oct 4 1928:34,1957 ALP 2,1-y ISZ,PS-1,S00002,Sputnik 8K71PS,M1-PS,NIIP-5 LC1,S,Energiya
1957 BET,1957 Nov 3 0230:42,1957 BET 1,2-y ISZ,PS-2,S00003,Sputnik 8K71PS,M1-2PS,NIIP-5 LC1,S,Grahn-WWW
1958 ALP,1958 Feb 1 0347:56,1958 ALP,Explorer 1,Explorer 1,S00004,Jupiter C,RS-29 UE,CC LC26A,S,JunoFam
1958 BET,1958 Mar 17 1215:41,1958 BET 2,Vanguard I,Vanguard Test Satellite,S00005,Vanguard,TV-4,CC LC18A,S,SP-4202
1958 GAM,1958 Mar 26 1738:03,1958 GAM,Explorer 3,Explorer 3,S00006,Jupiter C,RS-24 UT,CC LC5,S,JunoFam
1958 DEL,1958 May 15 0700:35,1958 DEL 2,3-y Sovetskiy ISZ,D-1 No. 2,S00008,Sputnik 8A91,B1-1,NIIP-5 LC1,S,NezavB
1958 EPS,1958 Jul 26 1500:57,1958 EPS,Explorer 4,Explorer 4,S00009,Jupiter C,RS/CC-44 TT,CC LC5,S,JunoFam
1958 ETA,1958 Oct 11 0842:13,1958 ETA,Pioneer 1,Able 2,S00110,Thor Able I,130,CC LC17A,S,NASA-5-25-59W-V3
1958 THE,1958 Dec 6 0544:52,1958 THE,Pioneer 3,Pioneer 3,S00111,Juno II,AM-11,CC LC5,S,JPL32-31-2
1958 ZET,1958 Dec 18 2302,1958 ZET,SCORE,SCORE,S00010,Atlas B,10B,CC LC11,S,AP
1959 MU,1959 Jan 2 1641:21,1959 MU 1,AMS Luna-1,E-1 No. 4,S00112,Vostok-L 8K72,B1-6,NIIP-5 LC1,S,Energiya
1959 ALP,1959 Feb 17 1555,1959 ALP 1,Vanguard II,Cloud cover satellite,S00011,Vanguard,SLV-4,CC LC18A,S,Vang-ER10304
1959 BET,1959 Feb 28 2149:16,1959 BET,Discoverer 1,CORONA Test Vehicle 2,S00013,Thor Agena A,163/FTV 1022,V 75-3-4,F,NRO2D4
