Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
The Death and Life of John F. Donovan,2018,07 Mar 2019,123 min,Drama,Xavier Dolan,"Xavier Dolan, Jacob Tierney","Kit Harington, Natalie Portman, Sarah Gadon, Emily Hampshire","A decade after the death of an American TV star, a young actor reminisces the written correspondence he shared with him, as well as the impact those letters had on both their lives.","Canada, UK",N/A,18%,28,6.3,818,tt4042818,movie,N/A,Lyla Films
Annihilation,2018,23 Feb 2018,115 min,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",Alex Garland,"Alex Garland (written for the screen by), Jeff VanderMeer (based on the novel by)","Natalie Portman, Benedict Wong, Sonoya Mizuno, David Gyasi","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","UK, USA",N/A,88%,79,6.9,"225,535",tt2798920,movie,"$20,636,742",Paramount Pictures
The Lonely Island: Natalie's Rap 2.0,2018,03 Feb 2018,N/A,"Short, Comedy, Music",N/A,N/A,"Beck Bennett, The Lonely Island, Alex Moffat, Natalie Portman","Natalie Portman's follow up to 2006's ""Natalie's Rap"".",USA,N/A,,N/A,7.8,278,tt7976862,movie,N/A,N/A
Angie Tribeca,2016–,17 Jan 2016,30 min,"Action, Comedy, Crime, Mystery",N/A,"Nancy Carell, Steve Carell","Rashida Jones, Jere Burns, Andree Vermeulen, Deon Cole","Lone-wolf detective Angie Tribeca and a squad of committed LAPD detectives investigate the most serious cases, from the murder of a ventriloquist to a rash of baker suicides.",USA,N/A,,N/A,7.0,"7,143",tt3597790,series,,
Song to Song,2017,17 Mar 2017,129 min,"Drama, Music, Romance",Terrence Malick,Terrence Malick,"Ryan Gosling, Rooney Mara, Michael Fassbender, Natalie Portman","Two intersecting love triangles. Obsession and betrayal set against the music scene in Austin, Texas.",USA,8 nominations.,43%,54,5.7,"15,573",tt2062700,movie,"$421,856",Broad Green Pictures
Jackie,2016,02 Dec 2016,100 min,"Biography, Drama, History",Pablo Larraín,Noah Oppenheim,"Natalie Portman, Peter Sarsgaard, Greta Gerwig, Billy Crudup","Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.","USA, France, Chile, Hong Kong, Germany, UK",Nominated for 3 Oscars. Another 42 wins & 158 nominations.,87%,81,6.7,"65,888",tt1619029,movie,"$13,958,679",Fox Searchlight Pictures
A Tale of Love and Darkness,2015,19 Aug 2016,95 min,"Biography, Drama, History, Mystery, Romance, War",Natalie Portman,"Natalie Portman (screenplay by), Amos Oz (based on the book by)","Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov","The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as a writer, while looking at what happens when the stories we tell become the stories we live.","Israel, USA",2 nominations.,69%,55,6.0,"3,003",tt1135989,movie,"$569,381",Focus World
Knight of Cups,2015,04 Mar 2016,118 min,"Drama, Romance",Terrence Malick,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy",A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,USA,3 wins & 8 nominations.,53/100,53,5.7,"22,178",tt2101383,movie,N/A,N/A
Thor: The Dark World,2013,08 Nov 2013,112 min,"Action, Adventure, Fantasy",Alan Taylor,"Christopher L. Yost (screenplay by), Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Don Payne (story by), Robert Rodat (story by), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Walter Simonson (character created by: Malekith)","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins","When Dr. Jane Foster (Natalie Portman) gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",USA,3 wins & 21 nominations.,66%,54,6.9,"540,844",tt1981115,movie,"$206,360,018",Walt Disney Pictures
Paul McCartney: My Valentine,2012,25 May 2012,3 min,"Short, Music",Paul McCartney,N/A,"Paul McCartney, Johnny Depp, Natalie Portman","Paul McCartney's song, ""My Valentine"", is translated into sign language by Natalie Portman and Johnny Depp.","UK, USA",2 nominations.,,N/A,8.1,761,tt2168874,movie,N/A,N/A
Thor,2011,06 May 2011,115 min,"Action, Adventure, Fantasy, Sci-Fi",Kenneth Branagh,"Ashley Miller (screenplay), Zack Stentz (screenplay), Don Payne (screenplay), J. Michael Straczynski (story), Mark Protosevich (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins","The powerful but arrogant god Thor (Chris Hemsworth) is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",USA,5 wins & 30 nominations.,77%,57,7.0,"677,686",tt0800369,movie,"$181,015,141",Paramount Pictures
No Strings Attached,2011,21 Jan 2011,108 min,"Comedy, Romance",Ivan Reitman,"Elizabeth Meriwether (screenplay), Michael Samonek (story), Elizabeth Meriwether (story)","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",USA,2 wins & 6 nominations.,49%,50,6.2,"197,074",tt1411238,movie,"$70,300,000",Paramount Pictures
Black Swan,2010,17 Dec 2010,108 min,"Drama, Thriller",Darren Aronofsky,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",USA,Won 1 Oscar. Another 91 wins & 257 nominations.,85%,79,8.0,"648,572",tt0947798,movie,"$106,952,327",Fox Searchlight
"Greed, a New Fragrance by Francesco Vezzoli",2009,N/A,1 min,Short,Roman Polanski,N/A,"Natalie Portman, Michelle Williams","Michelle Williams gently watches Natalie Portman brushing her hair, taking care of herself, enjoying her beauty. But then a different smell comes in the air. One look below and there's the ...",USA,N/A,,N/A,5.2,352,tt2167988,movie,N/A,N/A
The Other Woman,2009,28 Oct 2010,102 min,Drama,Don Roos,"Don Roos (screenplay), Ayelet Waldman (novel)","Natalie Portman, Scott Cohen, Lisa Kudrow, Charlie Tahan",The story of a woman dealing with her daughter's death while trying to keep her marriage and her relationship with her stepson.,USA,N/A,38%,37,6.4,"17,758",tt1032825,movie,"$20,585",IFC Films
The Other Boleyn Girl,2008,29 Feb 2008,115 min,"Biography, Drama, History, Romance",Justin Chadwick,"Peter Morgan (screenplay), Philippa Gregory (novel)","Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess",Two sisters contend for the affection of King Henry VIII.,"UK, USA",3 nominations.,42%,50,6.7,"96,873",tt0467200,movie,"$26,800,000",Sony Pictures/Columbia
Hotel Chevalier,2007,26 Oct 2007,13 min,"Short, Drama, Romance",Wes Anderson,Wes Anderson,"Jason Schwartzman, Natalie Portman, Waris Ahluwalia, Michel Castejon",A prologue of one heart-breaking history of love and the prologue of the travel told in The Darjeeling Limited (2007).,"USA, France",N/A,,N/A,7.3,"28,100",tt1094249,movie,N/A,N/A
Paul McCartney: Dance Tonight,2007,21 May 2007,5 min,"Short, Music",Michel Gondry,N/A,"Mackenzie Crook, Paul McCartney, Natalie Portman","A promotional video for Paul McCartney's 2007 single ""Dance Tonight.""",N/A,N/A,,N/A,6.7,16,tt6688792,movie,N/A,N/A
Goya's Ghosts,2006,10 Nov 2006,113 min,"Biography, Drama, History",Milos Forman,"Milos Forman, Jean-Claude Carrière","Javier Bardem, Natalie Portman, Stellan Skarsgård, Randy Quaid","Painter Francisco Goya faces a scandal involving his muse, who is labeled a heretic by a monk.","USA, Spain",2 wins & 5 nominations.,30%,52,6.9,"27,920",tt0455957,movie,"$743,451",Samuel Goldwyn Films
The Lonely Island: Natalie's Rap,2006,04 Mar 2006,2 min,"Short, Music",Akiva Schaffer,N/A,"Seth Meyers, Chris Parnell, Natalie Portman, Andy Samberg",N/A,USA,N/A,,N/A,8.2,6,tt6503364,movie,N/A,N/A
Free Zone,2005,07 Apr 2006,90 min,"Comedy, Drama",Amos Gitai,"Amos Gitai, Marie-Jose Sanselme","Natalie Portman, Hana Laslo, Hiam Abbass, Carmen Maura",Two women embark on a road trip after they are brought together by circumstance. Rebecca (Portman) flees her hotel after a fight with her mother-in-law (Maura) and hails a taxi driven by Hanna (Lazlo).,"Israel, Belgium, France, Spain",1 win & 6 nominations.,26%,51,5.9,"2,622",tt0441761,movie,N/A,New Yorker Films
Domino One,2005,11 Mar 2005,86 min,"Mystery, Thriller",Nick Louvel,"Nick Garrison, Nick Louvel","Nick Garrison, Ken Cheeseman, Steve Guttenberg, Tatyana Ali","A chemistry student tries to understand the reasons for the disappearance of his research director. He soon discovers the existence of a secret society, the Domino Club.",USA,N/A,,N/A,6.2,228,tt0446683,movie,N/A,N/A
Closer,2004,03 Dec 2004,104 min,"Drama, Romance",Mike Nichols,"Patrick Marber (play), Patrick Marber (screenplay)","Natalie Portman, Jude Law, Julia Roberts, Clive Owen",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,"USA, UK",Nominated for 2 Oscars. Another 21 wins & 47 nominations.,68%,65,7.3,"190,016",tt0376541,movie,"$33,987,757",Sony Pictures
Garden State,2004,20 Aug 2004,102 min,"Comedy, Drama, Romance",Zach Braff,Zach Braff,"Zach Braff, Kenneth Graymez, George C. Wolfe, Austin Lysy",A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,USA,13 wins & 38 nominations.,86%,67,7.5,"201,008",tt0333766,movie,"$26,706,668",Fox Searchlight
