City,Cloudiness,Country,Country Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Katherine,44,AU,1552903200,58,-14.47,132.26,87.8,4.7
Puerto Ayora,24,EC,1552904927,98,-0.74,-90.35,73.74,2.95
Sola,90,FI,1552904826,94,62.78,29.36,35.01,6.93
Geraldton,75,CA,1552903200,76,49.72,-86.95,-7.61,1.95
Mount Gambier,36,AU,1552899600,56,-37.83,140.78,68.0,8.05
Nome,1,US,1552904912,87,30.04,-94.42,46.4,4.18
Batemans Bay,92,AU,1552904701,80,-35.71,150.18,69.01,1.01
Arraial do Cabo,40,BR,1552903200,88,-22.97,-42.02,80.6,9.17
Albany,75,US,1552904721,68,42.65,-73.75,28.0,5.82
Saskylakh,0,RU,1552904929,49,71.97,114.09,-17.07,3.18
Pipri,0,IN,1552904929,62,24.21,83.02,79.5,4.41
Punta Arenas,0,CL,1552904593,70,-53.16,-70.91,46.4,16.11
Mataura,68,NZ,1552904930,87,-46.19,168.86,59.93,4.85
Olden,20,NO,1552904201,51,61.84,6.81,39.99,13.87
Upernavik,24,GL,1552904930,100,72.79,-56.15,-14.06,7.76
Ballina,90,IE,1552904892,100,54.11,-9.15,48.0,12.75
Bethel,1,US,1552902960,85,60.79,-161.76,14.0,11.41
Chuy,76,UY,1552904932,96,-33.69,-53.46,68.3,5.97
Toba,75,JP,1552904644,61,34.47,136.83,51.01,6.93
Carnarvon,0,ZA,1552904933,13,-30.97,22.13,81.8,8.21
Hithadhoo,8,MV,1552904933,100,-0.6,73.08,84.05,5.97
Ushuaia,75,AR,1552899600,75,-54.81,-68.31,41.0,25.28
Bluff,24,AU,1552904933,68,-23.58,149.07,79.05,6.2
Tuatapere,88,NZ,1552904933,100,-46.13,167.69,58.13,4.97
Machaneng,0,BW,1552904934,54,-23.19,27.49,84.95,2.84
Busselton,44,AU,1552904792,30,-33.64,115.35,87.01,3.62
Cherskiy,44,RU,1552904934,72,68.75,161.3,-11.0,8.32
Ostersund,90,SE,1552902600,86,63.18,14.64,28.4,10.29
Buala,64,SB,1552904935,93,-8.15,159.59,82.65,1.16
Dikson,88,RU,1552904935,100,73.51,80.55,24.69,21.3
Klaksvik,32,FO,1552904400,93,62.23,-6.59,41.0,13.87
Amsterdam,20,NL,1552904883,61,52.37,4.89,48.99,20.8
Rawson,0,AR,1552904936,51,-43.3,-65.11,51.15,15.7
Saint-Augustin,48,FR,1552904828,62,44.83,-0.61,54.0,4.7
Sanbu,0,CN,1552904885,80,33.46,119.15,64.99,1.01
Kodiak,1,US,1552904931,80,39.95,-94.76,37.0,8.05
Mahebourg,75,MU,1552904644,70,-20.41,57.7,87.8,11.41
Vangaindrano,24,MG,1552904937,53,-23.35,47.6,91.38,5.64
Hobart,20,AU,1552904715,87,-42.88,147.33,61.0,6.93
Ust-Nera,0,RU,1552904937,45,64.57,143.24,-17.79,1.95
Vestmannaeyjar,92,IS,1552904938,97,63.44,-20.27,42.24,15.7
Georgetown,40,GY,1552903200,100,6.8,-58.16,69.8,2.24
Cape Town,0,ZA,1552904590,61,-33.93,18.42,82.99,6.93
Polczyn-Zdroj,68,PL,1552904928,75,53.76,16.1,42.01,22.3
Faya,0,SA,1552899600,33,18.39,42.45,77.0,9.17
Nueva Gorgona,0,PA,1552904231,54,8.56,-79.88,78.01,5.01
Mackenzie,75,CA,1552903200,92,55.34,-123.09,28.4,2.24
Tasiilaq,92,GL,1552902600,85,65.61,-37.64,21.2,25.28
Kishi,0,NG,1552904940,61,9.08,3.85,88.28,4.29
Severo-Kurilsk,44,RU,1552904940,100,50.68,156.12,27.08,8.21
Teknaf,0,BD,1552904940,43,20.86,92.31,91.02,5.41
Luderitz,0,NA,1552904941,87,-26.65,15.16,65.78,7.43
Chokurdakh,24,RU,1552904941,53,70.62,147.9,-18.2,3.18
Nador,40,MA,1552903200,56,35.17,-2.93,68.0,11.41
Coos Bay,1,US,1552904718,93,43.37,-124.22,55.99,2.17
Hermanus,0,ZA,1552904169,80,-34.42,19.24,82.99,3.4
Hilo,90,US,1552904908,68,19.71,-155.08,69.8,10.29
Bhatkal,0,IN,1552904942,98,13.97,74.57,83.33,8.88
Dvinskoy,92,RU,1552905002,81,62.16,45.12,36.53,10.78
Yellowknife,5,CA,1552904935,92,62.45,-114.38,25.0,6.93
Bredasdorp,12,ZA,1552903326,61,-34.53,20.04,78.8,6.93
Tocopilla,56,CL,1552904886,100,-22.09,-70.2,59.7,1.05
Ilulissat,75,GL,1552902600,53,69.22,-51.1,-4.01,14.99
Barrow,0,AR,1552905010,81,-38.31,-60.23,63.08,14.7
Bandundu,12,CD,1552905013,83,-3.32,17.38,86.48,5.75
East London,20,ZA,1552899600,78,-33.02,27.91,77.0,8.05
Baherden,92,TM,1552905013,82,38.44,57.43,51.47,12.68
Mar del Plata,8,AR,1552905014,69,-46.43,-67.52,50.39,19.1
Rabo de Peixe,20,PT,1552904973,77,37.8,-25.58,60.8,9.17
Mosquera,40,CO,1552903200,81,4.71,-74.23,53.6,8.05
Flinders,75,AU,1552904961,100,-34.58,150.85,70.0,6.93
Jamestown,8,AU,1552904857,71,-33.21,138.6,70.68,4.52
Ngunguru,20,NZ,1552903684,90,-35.62,174.5,66.0,11.83
Paamiut,56,GL,1552905017,91,61.99,-49.67,31.4,15.37
Saint-Philippe,1,CA,1552904919,57,45.36,-73.48,19.99,8.05
Byron Bay,0,AU,1552904553,94,-28.65,153.62,72.0,3.36
Yar-Sale,24,RU,1552905017,81,66.83,70.83,16.82,9.55
Anadyr,0,RU,1552904594,75,64.73,177.51,-13.01,2.24
Qasigiannguit,75,GL,1552902600,53,68.82,-51.19,-4.01,14.99
Torbay,75,CA,1552904402,73,47.66,-52.73,25.0,12.75
Kavaratti,0,IN,1552905019,100,10.57,72.64,82.43,5.12
Nabire,24,ID,1552905019,84,-3.36,135.5,71.0,1.61
Prieska,0,ZA,1552905019,29,-29.67,22.74,91.25,11.95
Panaba,36,MX,1552905019,93,21.28,-88.27,71.36,2.84
Manaure,80,CO,1552905019,92,11.78,-72.45,76.85,19.66
Yuci,0,CN,1552903200,20,37.68,112.73,64.4,4.47
Mikuni,75,JP,1552899600,52,36.22,136.15,46.4,4.7
Narsaq,90,GL,1552902600,80,60.91,-46.05,30.2,6.93
Rikitea,88,PF,1552905021,100,-23.12,-134.97,78.29,18.95
Biak,0,ID,1552905021,90,-0.91,122.88,80.54,2.51
Campos do Jordao,75,BR,1552903200,100,-22.74,-45.59,71.6,2.84
Los Llanos de Aridane,75,ES,1552904768,59,28.66,-17.92,66.2,10.29
Imbituba,75,BR,1552903200,88,-28.24,-48.67,75.2,3.36
San Patricio,92,PY,1552905022,98,-26.98,-56.83,69.83,3.51
Khatanga,76,RU,1552905022,82,71.98,102.47,3.59,7.14
Slave Lake,1,CA,1552903200,86,55.28,-114.77,28.4,3.36
Mezen,100,RU,1552905023,80,65.85,44.24,35.45,8.93
Caravelas,0,BR,1552904910,100,-17.73,-39.27,82.92,12.68
Kungurtug,68,RU,1552905023,64,50.6,97.53,11.69,8.66
Sao Joao da Barra,0,BR,1552903200,94,-21.64,-41.05,78.8,5.86
Vao,80,EE,1552905024,92,59.1,26.19,37.52,8.66
Arkhipo-Osipovka,32,RU,1552905024,80,44.37,38.53,48.23,2.51
Saint George,0,GR,1552904615,48,39.45,22.34,66.99,4.12
Agropoli,20,IT,1552905002,77,40.35,15.0,62.01,5.82
Aklavik,90,CA,1552903200,51,68.22,-135.01,37.4,8.05
Atuona,92,PF,1552905025,100,-9.8,-139.03,81.53,13.8
De-Kastri,92,RU,1552905025,95,51.48,140.77,24.65,14.14
Watertown,1,US,1552904149,92,44.9,-97.12,24.8,6.93
Penzance,75,GB,1552905005,87,50.12,-5.53,48.99,13.87
Laguna,0,MX,1552905026,79,27.52,-110.01,48.05,1.88
Avarua,100,CK,1552901400,88,-21.21,-159.78,80.6,8.05
Castro,88,CL,1552903200,100,-42.48,-73.76,39.2,3.36
Esperance,20,TT,1552905008,94,10.24,-61.45,73.4,3.36
Kapaa,40,US,1552904611,63,22.08,-159.32,66.2,6.93
Provideniya,48,RU,1552905088,100,64.42,-173.23,7.01,9.89
Nikolskoye,90,RU,1552905035,93,59.7,30.79,39.0,6.71
Zhuanghe,24,CN,1552905052,72,39.7,122.97,44.01,3.0
